# Curated jsonb containment oracle: PostgreSQL's documented @> semantics.
#
# Tab-separated columns: name, haystack, needle, want, pg.
#   want  t/f: the verdict `SELECT haystack::jsonb @> needle::jsonb` yields.
#   pg    y: verified against a real server by
#            benchmarks/pgbaseline/run-pg-contains.sh (recorded log in
#            benchmarks/results/pg/contains-oracle.log).
#         s: PostgreSQL cannot evaluate the row (numeric range error on
#            cast); the row documents this library's exact-decimal
#            extension and the script records the server error.
#
# Documents must not contain literal tab bytes; escape spellings such
# as \t are fine. Every row is also cross-checked in-process against
# an independent decode-and-compare reference (contains_contract_test.go).
#
# --- objects contain objects -----------------------------------------------
object-identity	{"a":1}	{"a":1}	t	y
object-subset	{"a":1,"b":2}	{"a":1}	t	y
object-extra-keys	{"a":1,"b":2,"c":3}	{"b":2,"c":3}	t	y
object-missing-key	{"a":1}	{"b":1}	f	y
object-value-mismatch	{"a":1}	{"a":2}	f	y
object-empty-needle	{"a":1}	{}	t	y
object-empty-both	{}	{}	t	y
object-nested	{"a":{"b":1,"c":2}}	{"a":{"b":1}}	t	y
object-nested-miss	{"a":{"b":1}}	{"a":{"c":1}}	f	y
object-nested-empty	{"a":{"b":1}}	{"a":{}}	t	y
object-deep	{"a":{"b":{"c":[1,2,{"d":"x"}]}}}	{"a":{"b":{"c":[{"d":"x"}]}}}	t	y
object-null-value	{"a":null}	{"a":null}	t	y
object-null-not-absent	{"a":1}	{"b":null}	f	y
object-null-vs-value	{"a":1}	{"a":null}	f	y
object-array-value	{"a":[1,2]}	{"a":[2]}	t	y
object-numeric-value	{"a":1.0}	{"a":1}	t	y
object-empty-string-key	{"":1}	{"":1}	t	y
# --- the array/scalar exception does not nest ------------------------------
nested-no-exception	{"a":[1,2]}	{"a":1}	f	y
nested-no-exception-deep	{"a":{"b":[1]}}	{"a":{"b":1}}	f	y
# --- arrays contain arrays -------------------------------------------------
array-identity	[1,2,3]	[1,2,3]	t	y
array-subset	[1,2,3]	[1,3]	t	y
array-order-insensitive	[1,2,3]	[3,1]	t	y
array-dup-collapse	[1]	[1,1,1]	t	y
array-dup-collapse-str	["a","b"]	["b","a","b"]	t	y
array-missing-element	[1,2]	[4]	f	y
array-empty-needle	[1,2]	[]	t	y
array-empty-both	[]	[]	t	y
array-nested	[[1,2],[3]]	[[1,2]]	t	y
array-nested-superset	[[1,2]]	[[1]]	t	y
array-nested-scalar	[[1]]	[1]	f	y
array-empty-nested	[[2]]	[[]]	t	y
array-empty-nested-id	[[]]	[[]]	t	y
array-empty-nested-none	[1]	[[]]	f	y
array-object-element	[{"a":1,"b":2}]	[{"a":1}]	t	y
array-object-element-miss	[{"a":1}]	[{"b":1}]	f	y
array-mixed	[1,"a",{"k":"v"},[2]]	[{"k":"v"},[2]]	t	y
array-value-numeric	[1.0]	[1]	t	y
array-inner	{"a":[1,[2,3]]}	{"a":[[3]]}	t	y
# --- scalars: equal scalars contain each other -----------------------------
number-identity	1	1	t	y
number-spelling	1	1.0	t	y
number-spelling-rev	1.0	1	t	y
number-exponent	100	1e2	t	y
number-exponent-rev	1e2	100	t	y
number-e0	1	1e0	t	y
number-frac-exp	0.1	1e-1	t	y
number-negative	-1	-1	t	y
number-sign-differs	-1	1	f	y
number-negative-zero	-0	0	t	y
number-negative-zero-rev	0	-0	t	y
number-negative-zero-frac	-0.0	0	t	y
number-zero-exponent	0e5	0.000	t	y
number-trailing-zeros	1.10	1.1	t	y
number-wide-trailing	1200.00	1.2e3	t	y
number-different	1	2	f	y
number-close-frac	1.1	1.10001	f	y
bignum-equal	12345678901234567890123456789	12345678901234567890123456789	t	y
bignum-spelling	12345678901234567890123456789	1.2345678901234567890123456789e28	t	y
bignum-differs	12345678901234567890123456789	12345678901234567890123456780	f	y
bignum-float64-trap	123456789012345678901234567890	123456789012345678901234567891	f	y
bignum-2pow53-trap	9007199254740993	9007199254740992	f	y
longfrac-spelling	3.14159265358979323846264338327950288419716939937510582097	31.4159265358979323846264338327950288419716939937510582097e-1	t	y
bool-true	true	true	t	y
bool-false	false	false	t	y
bool-differs	true	false	f	y
null-null	null	null	t	y
string-identity	"x"	"x"	t	y
string-differs	"x"	"y"	f	y
string-case	"A"	"a"	f	y
# --- strings compare by decoded content ------------------------------------
string-unicode-escape	"A"	"\u0041"	t	y
string-unicode-escape-rev	"\u0041"	"A"	t	y
string-accent	"héllo"	"h\u00e9llo"	t	y
string-surrogate-pair	"😀"	"\ud83d\ude00"	t	y
string-simple-escape	"a\nb"	"a\u000ab"	t	y
string-solidus	"/"	"\/"	t	y
string-both-escaped	"\u0041\u0042"	"A\u0042"	t	y
string-not-normalized	"é"	"e\u0301"	f	y
object-escaped-key	{"k\u00e9y":1}	{"kéy":1}	t	y
object-escaped-key-rev	{"kéy":1}	{"k\u00e9y":1}	t	y
object-long-escaped-key	{"kkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkA":1}	{"kkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkk\u0041":1}	t	y
# --- kinds never cross -----------------------------------------------------
string-vs-number	"1"	1	f	y
number-vs-string	1	"1"	f	y
bool-vs-number	true	1	f	y
array-string-vs-number	["1",2]	1	f	y
# --- the top-level array/scalar exception ----------------------------------
exception-number	[1,2,3]	3	t	y
exception-string	["a","b"]	"b"	t	y
exception-string-quoted	["1",2]	"1"	t	y
exception-null	[null]	null	t	y
exception-bool	[true]	true	t	y
exception-numeric-equality	[1.0]	1	t	y
exception-miss	[1,2]	3	f	y
exception-not-nested-element	[[1]]	1	f	y
exception-never-reversed	1	[1]	f	y
# --- root kinds must otherwise match ---------------------------------------
root-object-vs-array	{"a":1}	[]	f	y
root-array-vs-object	[]	{}	f	y
root-array-object-element	[{"a":1}]	{"a":1}	f	y
root-object-vs-scalar	{"a":1}	1	f	y
root-scalar-vs-object	1	{}	f	y
root-null-vs-object	null	{}	f	y
root-scalar-vs-array	1	[1]	f	y
# --- duplicate keys keep the last occurrence -------------------------------
dup-haystack-last-wins	{"a":1,"a":2}	{"a":2}	t	y
dup-haystack-first-loses	{"a":1,"a":2}	{"a":1}	f	y
dup-needle-last-wins	{"a":2}	{"a":1,"a":2}	t	y
dup-needle-first-loses	{"a":1}	{"a":1,"a":2}	f	y
dup-needle-interleaved	{"a":3,"b":1}	{"a":1,"b":1,"a":3}	t	y
dup-nested	{"o":{"k":1,"k":2}}	{"o":{"k":2}}	t	y
# --- insignificant whitespace ----------------------------------------------
whitespace	{  "a" : 1  }	{"a":1}	t	y
# --- numeric range: inside numeric, beyond float64 -------------------------
exp-wide	1e100000	1e100000	t	y
exp-wide-spelling	1e100000	10e99999	t	y
exp-wide-negative	1e-5000	1.0e-5000	t	y
exp-wide-differs	1e100000	1e100001	f	y
# --- beyond numeric: exact-decimal extension (PostgreSQL errors) -----------
huge-exponent-equal	1e10000000000000000000	10e9999999999999999999	t	s
huge-exponent-differs	1e10000000000000000000	1e10000000000000000001	f	s
huge-negative-exponent	1e-10000000000000000000	0.1e-9999999999999999999	t	s
huge-exponent-zero	0e10000000000000000000	0	t	s
